Tissue,CELL_LINE_NAME
Breast,CAL120
Breast,CAL148
Breast,CAL51
Breast,UACC893
Breast,CAL851
Breast,OCUBM
Breast,EFM19
Breast,EFM192A
Breast,HCC1419
Breast,HCC1428
Breast,HCC1500
Breast,HCC1569
Breast,HCC202
Breast,HCC2157
Breast,HCC38
Breast,HCC70
Breast,HDQP1
Breast,JIMT1
Breast,MDAMB157
Breast,MDAMB175VII
Breast,MDAMB330
Breast,MDAMB361
Breast,MDAMB415
Breast,MRKNU1
Breast,BT20
Breast,BT474
Breast,MDAMB468
Breast,HCC1599
Breast,HCC1937
Breast,MFM223
Breast,T47D
Breast,ZR7530
Breast,HCC1806
Breast,EVSAT
Breast,HCC1187
Breast,MDAMB231
Breast,MDAMB436
Breast,HCC2218
Breast,AU565
Breast,CAMA1
Breast,BT483
Breast,MDAMB453
Breast,HCC1954
Breast,DU4475
Breast,HCC1395
Breast,COLO824
Breast,UACC812
Breast,MCF7
Breast,BT549
Breast,HCC1143
Breast,HS578T
Colon,RCM1
Colon,LS513
Colon,SW48
Colon,CW2
Colon,SNUC1
Colon,COLO320HSR
Colon,HCT116
Colon,LOVO
Colon,LS411N
Colon,SW620
Colon,LS123
Colon,HCC2998
Colon,COLO205
Colon,GP5D
Colon,CCK81
Colon,KM12
Colon,MDST8
Colon,HT29
Colon,SKCO1
Colon,C2BBE1
Colon,SW948
Colon,T84
Colon,HT55
Colon,NCIH508
Colon,LS1034
Colon,CAR1
Colon,SW837
Colon,RKO
Colon,NCIH716
Colon,SNU81
Colon,SNUC5
Colon,SW1116
Colon,SNU407
Colon,SNU175
Colon,SW1417
Colon,SW1463
Colon,LS180
Colon,HT115
Colon,NCIH747
Colon,CL11
Colon,SNU1040
Colon,DIFI
Colon,HCT15
Colon,SNUC2B
Colon,COLO678
Pancreas,PL4
Pancreas,SUIT2
Pancreas,YAPC
Pancreas,MZ1PC
Pancreas,DANG
Pancreas,HS766T
Pancreas,KP1N
Pancreas,KP3
Pancreas,KP4
Pancreas,BXPC3
Pancreas,PANC0203
Pancreas,PANC0403
Pancreas,PANC1005
Pancreas,PANC0327
Pancreas,CAPAN1
Pancreas,CFPAC1
Pancreas,SW1990
Pancreas,MIAPACA2
Pancreas,PSN1
Pancreas,HUPT3
Pancreas,CAPAN2
Pancreas,HUPT4
Pancreas,KP2
Pancreas,PANC0813
Pancreas,ASPC1
Pancreas,PATU8988T
Pancreas,SU8686
Pancreas,PATU8902
Pancreas,HPAC
